,Unadjusted OR  (95%CI; p-value),Adjusted OR^1^  (95%CI; p-value) 
case,6.94(5.38-9; <0.001),6.8 (5.25-8.8; <0.001)
packyrs,1.01(1-1.02;<0.001),1.02(1.01-1.02; <0.001)
ever_exposed,1.48(1.17-1.87; <0.001),1.44(1.12-1.84; 0.004)
